<SIZE>245
<LANG>EN
<STATE>Washington,WA
Aberdeen,46.9754,-123.816
Alderwood Manor,47.822,-122.282
Anacortes,48.5126,-122.613
Arlington,48.1987,-122.125
Artondale,47.2995,-122.621
Ashford,46.7584,-122.031
Auburn,47.3073,-122.228
Basin City,46.594,-119.152
Battle Ground,45.7809,-122.533
Bellevue,47.6104,-122.201
Bellingham,48.7596,-122.488
Bickleton,45.9979,-120.301
Birch Bay,48.9179,-122.745
Bonney Lake,47.177,-122.187
Bothell,47.7623,-122.205
Bremerton,47.5673,-122.633
Brewster,48.096,-119.781
Brier,47.7845,-122.274
Burien,47.4704,-122.347
Burlington,48.4757,-122.325
Camano,48.174,-122.528
Camas,45.5871,-122.4
Cathlamet,46.2032,-123.383
Centralia,46.7162,-122.954
Chehalis,46.662,-122.964
Chelan,47.841,-120.016
Cheney,47.4874,-117.576
Chewelah,48.2763,-117.716
Clarkston,46.4163,-117.045
Cle Elum,47.1954,-120.939
Colfax,46.8802,-117.364
College Place,46.0493,-118.388
Colville,48.5466,-117.906
Conconully,48.5574,-119.75
Concrete,48.5393,-121.746
Connell,46.6635,-118.861
Cottage Lake,47.7443,-122.077
Coulee City,47.6113,-119.292
Coulee Dam,47.9654,-118.976
Country Homes,47.7485,-117.404
Covington,47.3482,-122.115
Cusick,48.3374,-117.297
Dallesport,45.6173,-121.18
Darrington,48.2554,-121.602
Davenport,47.654,-118.15
Dayton,46.3238,-117.972
Deer Park,47.9543,-117.477
Des Moines,47.4018,-122.324
Dishman,47.6568,-117.283
Duvall,47.7423,-121.986
East Renton Highlands,47.4848,-122.112
East Wenatchee,47.4157,-120.293
East Wenatchee Bench,47.4257,-120.281
Eatonville,46.8673,-122.267
Edgewood,47.2501,-122.294
Edmonds,47.8107,-122.377
Elk Plain,47.0532,-122.398
Ellensburg,46.9965,-120.548
Elma,47.0034,-123.409
Enumclaw,47.2043,-121.992
Ephrata,47.3176,-119.554
Everett,47.979,-122.202
Fairwood,47.7668,-117.417
Federal Way,47.3223,-122.313
Felida,45.7096,-122.707
Ferndale,48.8465,-122.591
Fife,47.2393,-122.357
Finley,46.154,-119.034
Fircrest,47.2395,-122.516
Five Corners,45.6846,-122.575
Forks,47.9504,-124.385
Frederickson,47.0962,-122.359
Friday Harbor,48.5343,-123.017
Gig Harbor,47.3293,-122.58
Gold Bar,47.8568,-121.697
Goldendale,45.8207,-120.822
Graham,47.0529,-122.294
Grandview,46.251,-119.902
Greenwater,47.1559,-121.65
Harrington,47.481,-118.254
Hobart,47.4218,-121.973
Hockinson,45.7379,-122.487
Hoquiam,46.9809,-123.889
Humptulips,47.2329,-123.959
Ilwaco,46.309,-124.043
Inchelium,48.2968,-118.197
Ione,48.741,-117.417
Issaquah,47.5301,-122.033
Kahlotus,46.6432,-118.557
Kelso,46.1468,-122.908
Kenmore,47.7573,-122.244
Kennewick,46.2112,-119.137
Kent,47.3809,-122.235
Kingsgate,47.727,-122.18
Kirkland,47.6815,-122.209
Klickitat,45.8171,-121.153
La Crosse,46.814,-117.882
Lacey,47.0343,-122.823
Lake Forest Park,47.7568,-122.281
Lake Shore,45.6907,-122.691
Lake Stevens,48.0151,-122.064
Lakewood,47.1718,-122.518
Lea Hill,47.3262,-122.182
Leavenworth,47.5962,-120.661
Liberty Lake,47.6482,-117.092
Lind,46.9721,-118.615
Longview,46.1382,-122.938
Lynden,48.9465,-122.452
Lynnwood,47.8209,-122.315
Maltby,47.8051,-122.113
Manchester,47.5559,-122.545
Mansfield,47.8115,-119.637
Maple Falls,48.9243,-122.077
Maple Valley,47.4065,-122.039
Marblemount,48.5276,-121.45
Martha Lake,47.8509,-122.239
Marysville,48.0518,-122.177
Mattawa,46.7379,-119.903
Mercer Island,47.5707,-122.222
Midland,47.167,-122.405
Mill Creek,47.8601,-122.204
Mill Plain,45.6429,-122.494
Milton,47.2482,-122.313
Minnehaha,45.659,-122.649
Monroe,47.8554,-121.971
Morton,46.5584,-122.275
Moses Lake,47.1301,-119.278
Mount Vernon,48.4212,-122.334
Mount Vista,45.7343,-122.633
Mountlake Terrace,47.7882,-122.309
Mukilteo,47.9445,-122.305
Neah Bay,48.3681,-124.625
Neilton,47.4129,-123.88
Nespelem,48.1671,-118.975
Newcastle,47.539,-122.156
Newport,48.1796,-117.043
Normandy Park,47.4362,-122.341
North Creek,47.8195,-122.176
North Marysville,48.0993,-122.149
Northport,48.916,-117.782
Oak Harbor,48.2932,-122.643
Oakville,46.8404,-123.232
Ocean Park,46.4915,-124.05
Ocean Shores,46.9737,-124.156
Odessa,47.3332,-118.691
Olympia,47.0379,-122.901
Omak,48.411,-119.528
Opportunity,47.6574,-117.24
Orchards,45.6665,-122.561
Oroville,48.9391,-119.436
Othello,46.826,-119.175
Pacific,47.2645,-122.25
Palouse,46.9102,-117.076
Parkland,47.1554,-122.434
Parkwood,47.5331,-122.61
Pasco,46.2396,-119.101
Pe Ell,46.5704,-123.297
Pomeroy,46.4749,-117.603
Port Angeles,48.1181,-123.431
Port Ludlow,47.9254,-122.683
Port Orchard,47.5404,-122.636
Port Townsend,48.117,-122.76
Poulsbo,47.7359,-122.647
Prairie Ridge,47.1376,-122.149
Prescott,46.2996,-118.315
Prosser,46.2068,-119.769
Pullman,46.7313,-117.18
Puyallup,47.1854,-122.293
Quincy,47.2343,-119.853
Raymond,46.6865,-123.733
Reardan,47.6696,-117.878
Redmond,47.674,-122.122
Renton,47.4829,-122.217
Republic,48.6482,-118.738
Richland,46.2857,-119.284
Ritzville,47.1274,-118.38
Rockford,47.4521,-117.131
Roosevelt,45.7429,-120.216
Rosalia,47.236,-117.37
Royal City,46.901,-119.631
Saint John,47.0916,-117.582
Salmon Creek,45.7107,-122.649
Sammamish,47.6418,-122.08
SeaTac,47.4537,-122.322
Seattle,47.6062,-122.332
Sedro-Woolley,48.5039,-122.236
Selah,46.654,-120.53
Sequim,48.0795,-123.102
Shelton,47.2151,-123.101
Shoreline,47.7557,-122.342
Silverdale,47.6445,-122.695
Skykomish,47.7093,-121.36
Snohomish,47.9129,-122.098
Snoqualmie,47.5287,-121.825
Snoqualmie Pass,47.3923,-121.4
South Hill,47.1412,-122.27
Spanaway,47.104,-122.435
Spokane,47.6588,-117.426
Sprague,47.3002,-117.976
Springdale,48.0574,-117.741
Starbuck,46.5196,-118.129
