<SIZE>239
<LANG>EN
<STATE>Wisconsin,WI
Abbotsford,44.9464,-90.316
Adams,43.9561,-89.8182
Algoma,44.6089,-87.4326
Allouez,44.4775,-88.0162
Altoona,44.8047,-91.4432
Amery,45.3069,-92.3621
Antigo,45.1402,-89.1523
Appleton,44.2619,-88.4154
Arcadia,44.2527,-91.5015
Argyle,42.7011,-89.8671
Ashland,46.5924,-90.8838
Ashwaubenon,44.4822,-88.0701
Baldwin,44.9666,-92.3744
Baraboo,43.4711,-89.7443
Barron,45.4,-91.9
Bay City,44.5855,-92.4505
Bayfield,46.8108,-90.8182
Beaver Dam,43.4578,-88.8373
Bellevue,44.4442,-87.9201
Beloit,42.5083,-89.0318
Berlin,43.968,-88.9435
Big Falls,44.6155,-89.0162
Birchwood,45.6663,-91.556
Black Creek,44.4775,-88.4507
Black River Falls,44.2947,-90.8515
Blair,44.2944,-91.2352
Boscobel,43.1344,-90.7054
Boyceville,45.0436,-92.041
Brodhead,42.6183,-89.3762
Brookfield,43.0606,-88.1065
Brown Deer,43.1633,-87.9645
Buffalo City,44.2305,-91.8643
Burlington,42.6781,-88.2762
Caledonia,42.8078,-87.9242
Campbellsport,43.5978,-88.279
Cashton,43.7419,-90.7793
Cassville,42.7144,-90.9907
Cedarburg,43.2967,-87.9876
Chetek,45.3141,-91.651
Chilton,44.0289,-88.1629
Chippewa Falls,44.9369,-91.3929
Clintonville,44.6205,-88.7623
Colfax,44.9975,-91.7271
Columbus,43.338,-89.0154
Cornell,45.1672,-91.1493
Cottage Grove,43.0761,-89.1996
Crandon,45.5719,-88.9029
Crivitz,45.2325,-88.0076
Cudahy,42.9597,-87.8615
Cumberland,45.5322,-92.0193
Darlington,42.6831,-90.1176
De Forest,43.2478,-89.3437
De Pere,44.4489,-88.0604
De Soto,43.423,-91.199
Delafield,43.0608,-88.4037
Delavan,42.6331,-88.6437
Dodgeville,42.9603,-90.1301
Durand,44.6264,-91.9657
Eagle River,45.9172,-89.2443
Eau Claire,44.8113,-91.4985
Edgar,44.9272,-89.9635
Egg Harbor,45.0464,-87.2971
Elkhorn,42.6728,-88.5445
Elm Grove,43.0431,-88.079
Elmwood,44.7811,-92.146
Exeland,45.668,-91.244
Fairchild,44.6002,-90.9629
Fitchburg,42.9608,-89.4698
Fond du Lac,43.775,-88.4388
Fort Atkinson,42.9289,-88.8371
Fox Point,43.1575,-87.9018
Franklin,42.8886,-88.0384
Frederic,45.6591,-92.4671
Friesland,43.5886,-89.0673
Germantown,43.2286,-88.1104
Gilman,45.1666,-90.8076
Glendale,43.1353,-87.9356
Grafton,43.3197,-87.9534
Grantsburg,45.7763,-92.6827
Green Bay,44.5192,-88.0198
Greendale,42.9406,-87.9959
Greenfield,42.9614,-88.0126
Hales Corners,42.9375,-88.0487
Hartford,43.3178,-88.379
Hartland,43.105,-88.342
Hawkins,45.515,-90.7199
Hayward,46.013,-91.4846
Hazel Green,42.5328,-90.4346
Highland,43.0467,-90.3798
Hillsboro,43.6522,-90.344
Holmen,43.9633,-91.2563
Howard,44.5436,-88.0882
Hudson,44.9747,-92.7569
Hurley,46.4497,-90.1866
Jackson,43.3239,-88.1668
Janesville,42.6828,-89.0187
Jefferson,43.0056,-88.8073
Kaukauna,44.278,-88.272
Kenosha,42.5847,-87.8212
Kimberly,44.2722,-88.339
La Crosse,43.8014,-91.2396
La Farge,43.5747,-90.6404
Lac du Flambeau,45.9697,-89.8921
Ladysmith,45.463,-91.104
Lake Geneva,42.5917,-88.4334
Lake Nebagamon,46.5149,-91.6999
Lancaster,42.8475,-90.7107
Little Chute,44.28,-88.3184
Loyal,44.7369,-90.496
Luxemburg,44.5386,-87.704
Lyndon Station,43.7122,-89.8996
