<SIZE>90
<LANG>EN
<STATE>West Virginia,WV
Bayard,39.2729,-79.3645
Beckley,37.7782,-81.1882
Berkeley Springs,39.627,-78.2272
Bethany,40.2056,-80.5567
Blacksville,39.7201,-80.212
Bluefield,37.2698,-81.2223
Bradshaw,37.3518,-81.7987
Bridgeport,39.2865,-80.2562
Brookhaven,39.6117,-79.9045
Buckhannon,38.994,-80.232
Capon Bridge,39.2982,-78.4361
Charles Town,39.289,-77.8597
Charleston,38.3498,-81.6326
Cheat Lake,39.672,-79.8534
Chester,40.6131,-80.5629
Clarksburg,39.2806,-80.3445
Clay,38.4604,-81.0851
Clendenin,38.4887,-81.3482
Cross Lanes,38.4204,-81.7907
Dunbar,38.3606,-81.7374
Durbin,38.5457,-79.8251
Elizabeth,39.0634,-81.3951
Elkins,38.9259,-79.8467
Fairmont,39.4851,-80.1426
Falling Spring,37.9918,-80.354
Franklin,38.6429,-79.3312
Gilbert Creek,37.5759,-81.8948
Glenville,38.9343,-80.8376
Grafton,39.3409,-80.019
Grantsville,38.9234,-81.0959
Harman,38.9223,-79.5251
Harrisville,39.2095,-81.0518
Harts,38.0312,-82.1293
Hinton,37.674,-80.8893
Hundred,39.6837,-80.459
Huntington,38.4193,-82.4452
Hurricane,38.4326,-82.0201
Kermit,37.8437,-82.4093
Keyser,39.4409,-78.9739
Kingwood,39.4718,-79.6834
Lewisburg,37.8018,-80.4456
Logan,37.8487,-81.9935
Madison,38.067,-81.8193
Marlinton,38.2235,-80.0945
Martinsburg,39.4562,-77.9639
Mason,39.0217,-82.029
Mill Creek,38.7315,-79.9701
Montgomery,38.1804,-81.3284
Morgantown,39.6295,-79.9559
Moundsville,39.9204,-80.7431
Mullens,37.5832,-81.3804
New Martinsville,39.6445,-80.8576
Nitro,38.4148,-81.844
Oak Hill,37.9723,-81.1487
Oceana,37.6921,-81.624
Parkersburg,39.2667,-81.5615
Parsons,39.0965,-79.6809
Paw Paw,39.532,-78.4583
Pea Ridge,38.414,-82.3199
Petersburg,38.9926,-79.1239
Peterstown,37.3973,-80.7992
Philippi,39.1523,-80.0404
Point Pleasant,38.8445,-82.1371
Princeton,37.3662,-81.1026
Rainelle,37.9687,-80.767
Ravenswood,38.9481,-81.761
Richwood,38.2248,-80.5331
Romney,39.342,-78.7567
Saint Albans,38.3857,-81.8362
Saint Marys,39.3917,-81.2051
Smithfield,39.4995,-80.5618
South Charleston,38.3684,-81.6996
Spencer,38.802,-81.351
Summersville,38.2812,-80.8526
Sutton,38.6645,-80.7098
Teays Valley,38.4501,-81.9293
Union,37.5915,-80.5437
Vienna,39.327,-81.5485
Wardensville,39.0751,-78.5978
Wayne,38.2215,-82.4424
Webster Springs,38.4793,-80.4134
Weirton,40.419,-80.5895
Weirton Heights,40.4084,-80.5392
Welch,37.4329,-81.5845
West Union,39.2965,-80.777
Weston,39.0384,-80.4673
Wheeling,40.064,-80.7209
Whitesville,37.9748,-81.529
Wiley Ford,39.6145,-78.775
Williamson,37.6743,-82.2774
