<SIZE>97
<LANG>EN
<STATE>Wyoming,WY
Afton,42.7249,-110.932
Albin,41.4178,-104.098
Alcova,42.5522,-106.716
Alpine,43.1752,-111.035
Alta,43.7538,-111.037
Antelope Hills,43.0816,-106.324
Atlantic City,42.4966,-108.731
Baggs,41.0358,-107.658
Bairoil,42.2444,-107.56
Bessemer Bend,42.758,-106.52
Bondurant,43.203,-110.409
Buffalo,44.3483,-106.699
Burlington,44.4472,-108.432
Burns,41.1928,-104.359
Casper,42.8666,-106.313
Centennial,41.2983,-106.142
Cheyenne,41.14,-104.82
Chugwater,41.7566,-104.822
Clearmont,44.6403,-106.381
Cody,44.5263,-109.057
Cokeville,42.0824,-110.955
Crowheart,43.3097,-109.194
Douglas,42.7597,-105.382
Dubois,43.5336,-109.63
Eden,42.0508,-109.437
Elk Mountain,41.6875,-106.413
Encampment,41.2094,-106.79
Esterbrook,42.4116,-105.361
Ethete,43.025,-108.773
Evanston,41.2683,-110.963
Fontenelle,41.9849,-110.059
Frannie,44.9691,-108.622
Gillette,44.2911,-105.502
Glendo,42.5027,-105.026
Glenrock,42.8614,-105.872
Granger,41.5936,-109.969
Green River,41.5286,-109.466
Greybull,44.4891,-108.056
Guernsey,42.2697,-104.742
Hanna,41.87,-106.562
Hoback,43.2819,-110.784
Hulett,44.6828,-104.602
Hyattville,44.2458,-107.603
Jackson,43.4799,-110.762
Jeffrey City,42.4947,-107.827
Kaycee,43.7103,-106.639
Kemmerer,41.7924,-110.538
La Barge,42.2619,-110.195
La Grange,41.6403,-104.164
Lance Creek,43.0325,-104.642
Lander,42.833,-108.731
Laramie,41.3114,-105.591
Lonetree,41.0544,-110.154
Lost Springs,42.7655,-104.925
Lovell,44.8375,-108.39
Lusk,42.7625,-104.452
Lyman,41.3274,-110.293
Manderson,44.2694,-107.964
Marbleton,42.5536,-110.109
Meadow Lark Lake,44.1755,-107.253
Medicine Bow,41.8955,-106.205
Meeteetse,44.1572,-108.872
Midwest,43.4114,-106.28
Moorcroft,44.2633,-104.95
Newcastle,43.8547,-104.205
Osage,43.9808,-104.422
Owl Creek,43.7811,-108.567
Pavillion,43.2447,-108.69
Pine Bluffs,41.1819,-104.069
Pinedale,42.8666,-109.861
Powder River,43.0322,-106.987
Powell,44.7538,-108.757
Ranchester,44.9089,-107.163
Ranchettes,41.2186,-104.79
Rawlins,41.7911,-107.239
Riverton,43.025,-108.38
Rock River,41.7414,-105.975
Rock Springs,41.5875,-109.203
Saratoga,41.455,-106.806
Sheridan,44.7972,-106.956
Shoshoni,43.2358,-108.11
Story,44.5747,-106.887
Sundance,44.4064,-104.376
Superior,41.7694,-108.977
Table Rock,41.6141,-108.388
Ten Sleep,44.0341,-107.451
Thayne,42.9208,-111.002
Thermopolis,43.6461,-108.212
Torrington,42.0625,-104.184
Upton,44.0997,-104.628
Van Tassell,42.6627,-104.088
Wamsutter,41.673,-107.979
Washam,41.0166,-109.77
Wheatland,42.0544,-104.953
Winchester,43.86,-108.161
Worland,44.0169,-107.955
Wright,43.7469,-105.471
