NASA Surface meteorology and Solar Energy: Global Data
Monthly Averaged Insolation Clearness Index (0 to 1.0)

Monthly average for July 1983 - June 1993

Lat Lon Jan Feb Mar Apr May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
0 0 0.50 0.55 0.52 0.48 0.54 0.57 0.57 0.55 0.55 0.54 0.56 0.55
0 1 0.50 0.55 0.52 0.48 0.55 0.56 0.56 0.55 0.55 0.54 0.56 0.54
0 2 0.50 0.54 0.51 0.48 0.54 0.56 0.55 0.54 0.54 0.53 0.56 0.54
0 3 0.50 0.54 0.51 0.47 0.54 0.55 0.55 0.54 0.53 0.53 0.55 0.53
0 4 0.49 0.53 0.50 0.46 0.53 0.54 0.53 0.53 0.52 0.52 0.54 0.52
0 5 0.49 0.52 0.49 0.44 0.51 0.53 0.52 0.51 0.52 0.50 0.52 0.51
0 6 0.48 0.51 0.48 0.43 0.50 0.52 0.51 0.49 0.50 0.48 0.50 0.50
0 7 0.48 0.50 0.47 0.43 0.48 0.50 0.49 0.47 0.47 0.46 0.48 0.49
0 8 0.48 0.49 0.47 0.43 0.47 0.48 0.47 0.44 0.44 0.43 0.45 0.48
0 9 0.50 0.50 0.48 0.45 0.46 0.46 0.45 0.42 0.42 0.43 0.45 0.49
0 10 0.52 0.51 0.49 0.48 0.46 0.45 0.44 0.40 0.40 0.44 0.44 0.49
0 11 0.54 0.52 0.50 0.50 0.46 0.44 0.43 0.38 0.39 0.45 0.44 0.49
0 12 0.54 0.52 0.50 0.50 0.47 0.45 0.44 0.40 0.41 0.46 0.44 0.50
0 13 0.54 0.52 0.51 0.51 0.47 0.47 0.45 0.42 0.43 0.47 0.45 0.50
0 14 0.53 0.52 0.51 0.51 0.48 0.48 0.46 0.42 0.44 0.46 0.45 0.49
0 15 0.50 0.53 0.51 0.50 0.49 0.49 0.45 0.42 0.45 0.45 0.46 0.48
0 16 0.48 0.53 0.51 0.50 0.50 0.49 0.45 0.42 0.45 0.44 0.46 0.46
0 17 0.48 0.53 0.51 0.49 0.50 0.49 0.44 0.41 0.45 0.44 0.46 0.46
0 18 0.48 0.53 0.50 0.49 0.49 0.48 0.44 0.41 0.46 0.43 0.46 0.46
0 19 0.48 0.53 0.50 0.48 0.49 0.48 0.43 0.41 0.46 0.43 0.46 0.46
0 20 0.48 0.52 0.49 0.48 0.49 0.48 0.43 0.42 0.46 0.43 0.45 0.46
0 21 0.47 0.51 0.49 0.48 0.49 0.48 0.43 0.42 0.47 0.43 0.45 0.46
0 22 0.47 0.51 0.49 0.48 0.48 0.48 0.43 0.42 0.46 0.43 0.44 0.45
0 23 0.46 0.51 0.49 0.47 0.48 0.47 0.42 0.41 0.46 0.43 0.43 0.45
0 24 0.48 0.51 0.49 0.48 0.47 0.47 0.43 0.42 0.46 0.45 0.44 0.46
