NASA Surface meteorology and Solar Energy: Global Data
Monthly Averaged Insolation Clearness Index (0 to 1.0)

Monthly average for July 1983 - June 1993

Lat Lon Jan Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
0 -180 0.55 0.57 0.59 0.58 0.61 0.62 0.63 0.64 0.65 0.66 0.63 0.58
0 -179 0.55 0.58 0.59 0.59 0.61 0.63 0.63 0.64 0.65 0.66 0.63 0.59
0 -178 0.56 0.58 0.59 0.59 0.61 0.63 0.63 0.65 0.65 0.66 0.64 0.59
0 -177 0.56 0.58 0.59 0.59 0.61 0.63 0.63 0.65 0.66 0.67 0.64 0.60
0 -176 0.57 0.59 0.60 0.59 0.61 0.63 0.64 0.65 0.66 0.67 0.65 0.60
0 -175 0.57 0.59 0.60 0.59 0.61 0.63 0.64 0.65 0.67 0.67 0.65 0.61
0 -174 0.58 0.59 0.60 0.59 0.61 0.63 0.64 0.65 0.67 0.67 0.65 0.61
0 -173 0.58 0.60 0.61 0.59 0.61 0.63 0.64 0.66 0.67 0.68 0.66 0.62
0 -172 0.58 0.60 0.62 0.59 0.61 0.64 0.64 0.66 0.67 0.68 0.66 0.62
0 -171 0.59 0.61 0.62 0.59 0.61 0.64 0.64 0.66 0.68 0.68 0.66 0.62
0 -170 0.59 0.61 0.62 0.59 0.62 0.64 0.64 0.66 0.68 0.68 0.66 0.63
0 -169 0.60 0.62 0.63 0.60 0.62 0.64 0.64 0.66 0.68 0.68 0.66 0.63
0 -168 0.60 0.62 0.63 0.60 0.62 0.64 0.64 0.67 0.68 0.68 0.66 0.63
0 -167 0.60 0.62 0.63 0.60 0.63 0.64 0.64 0.67 0.68 0.68 0.66 0.63
0 -166 0.60 0.63 0.62 0.60 0.63 0.64 0.64 0.67 0.68 0.68 0.66 0.64
0 -165 0.60 0.63 0.62 0.61 0.63 0.64 0.64 0.67 0.68 0.68 0.66 0.64
0 -164 0.61 0.63 0.62 0.61 0.63 0.64 0.64 0.67 0.68 0.69 0.66 0.64
0 -163 0.61 0.63 0.62 0.61 0.63 0.64 0.64 0.67 0.68 0.68 0.67 0.64
0 -162 0.61 0.63 0.62 0.61 0.63 0.65 0.65 0.67 0.68 0.68 0.67 0.64
0 -161 0.62 0.63 0.62 0.62 0.63 0.65 0.65 0.67 0.68 0.68 0.67 0.65
0 -160 0.62 0.63 0.62 0.62 0.64 0.65 0.66 0.67 0.69 0.68 0.67 0.65
0 -159 0.63 0.64 0.63 0.62 0.64 0.66 0.66 0.68 0.69 0.68 0.67 0.65
0 -158 0.63 0.64 0.63 0.63 0.64 0.66 0.66 0.68 0.69 0.68 0.67 0.65
0 -157 0.64 0.64 0.63 0.63 0.64 0.66 0.66 0.68 0.69 0.68 0.67 0.65
0 -156 0.64 0.64 0.63 0.64 0.64 0.66 0.66 0.68 0.69 0.68 0.68 0.66
