NASA Surface meteorology and Solar Energy: Global Data
Monthly Averaged Insolation Clearness Index (0 to 1.0)

Monthly average for July 1983 - June 1993

Lat Lon Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
-90 0 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 1 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 2 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 3 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 4 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 5 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 6 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 7 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 8 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 9 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 10 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 11 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 12 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 13 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 14 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 15 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 16 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 17 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 18 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 19 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 20 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 21 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 22 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 23 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 24 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 25 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 26 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 27 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 28 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 29 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 30 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 31 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 32 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 33 0.77 0.72 0.31 na na na na na 0.35 0.60 0.80 0.81
-90 34 0.77 0.72 0.31 na na na na na 0.35 0.60 0.81 0.81
-90 35 0.77 0.72 0.31 na na na na na 0.35 0.60 0.81 0.81
-90 36 0.77 0.72 0.31 na na na na na 0.35 0.60 0.81 0.81
-90 37 0.77 0.72 0.31 na na na na na 0.35 0.60 0.81 0.81
-90 38 0.77 0.72 0.31 na na na na na 0.35 0.60 0.81 0.81
